date,dfy,infl,svar,de,lty,tms,tbl,dfr,dp,dy,ltr,ep,b/m,ntis,mr,R
1927-01-31,0.010000000000000002,0.005681818181818121,0.000464617809,-0.5861750610077776,0.0354,0.004700000000000003,0.030699999999999998,-0.0021999999999999997,-2.9730123516104965,-2.9565695297349484,0.0078,-2.3868372906027187,0.44147582697201027,0.050876177315979106,0.026047,-0.00541
1927-02-28,0.009500000000000001,0.0,0.00046989469600000004,-0.5676012075299617,0.0351,0.002799999999999997,0.0323,-0.0018999999999999998,-2.9423744954802977,-2.9633490471657282,0.0075,-2.374773287950336,0.4437056454190909,0.05082378469005321,-0.00291,0.042922
1927-03-31,0.0092,-0.011299435028248594,0.00028733434600000006,-0.5491819049558697,0.0347,0.001800000000000003,0.0329,-0.0019000000000000006,-2.979534685857688,-2.9329458542023983,0.0088,-2.4303527809018184,0.4285008644109657,0.05166764265670832,0.045522,0.004324
1927-04-30,0.0092,-0.005714285714285783,0.0009241927529999997,-0.5314564084593991,0.0331,0.0010999999999999968,0.032,-0.017,-2.9765350967384903,-2.9700532591362996,0.0253,-2.445078688279091,0.46976511744127936,0.04635657599279304,0.007324,0.010520999999999999
1927-05-31,0.009000000000000001,-0.005747126436781436,0.0006025885709999999,-0.5129163625580997,0.0333,-0.0005999999999999964,0.0339,0.006,-2.984224989684853,-2.967142723773978,-0.0005,-2.4713086271267533,0.456754130223518,0.05051402427794067,0.013021,0.059352999999999996
1927-06-30,0.009299999999999996,0.0,0.00039173375600000014,-0.4945175057024356,0.0327,-0.0006000000000000033,0.0333,-0.012,-3.025963333903549,-2.9750582588294914,0.0109,-2.5314458282011136,0.43478260869565216,0.05527538979640154,0.062353,-0.022969999999999997
1927-07-31,0.0097,0.005780346820809079,0.0008245769509999999,-0.4759788924358226,0.0334,0.002700000000000001,0.030699999999999998,0.0112,-3.0073088413829887,-3.0167428736163475,-0.0069,-2.531329948947166,0.4523852493533057,0.058821916174431284,-0.02037,0.08145
1927-08-31,0.009500000000000001,0.011494252873563315,0.00042577976300000003,-0.4574368746026151,0.0333,0.003700000000000002,0.0296,-0.0047,-3.0611442423635555,-2.9981726218366576,0.005,-2.6037073677609404,0.4145534729878721,0.059749925307144625,0.08445,0.030520000000000002
1927-09-30,0.009200000000000007,-0.017045454545454586,0.0012764138519999997,-0.4390227885378113,0.0329,0.0058999999999999955,0.027000000000000003,0.0007000000000000001,-3.0957644793000663,-3.0522252643210757,0.0076,-2.6567416907622547,0.3962274092417936,0.054521771691877635,0.03332,0.050916
1927-10-31,0.008799999999999995,-0.005780346820809301,0.001123349479,-0.4213384572644545,0.033,0.006200000000000001,0.0268,0.0131,-3.1290969856214144,-3.0867910045009577,0.0018,-2.70775852835696,0.3805860620476745,0.09461297708991753,0.053016,-0.049304
1927-11-30,0.0087,0.005813953488372103,0.001559337454,-0.4027743850626522,0.0325,0.0017000000000000001,0.0308,-0.004400000000000001,-3.065649786808161,-3.1202033184512947,0.0099,-2.6628754017455085,0.4138006933362681,0.09436673544656236,-0.046804,0.06844599999999999
1927-12-31,0.008599999999999997,0.005780346820809079,0.000929659138,-0.38432528426773527,0.032,0.0016000000000000007,0.0304,-0.0029000000000000007,-3.122543243905227,-3.056965521704212,0.0097,-2.738217959637492,0.37939559053529087,0.08226718587929228,0.070546,0.017095
1928-01-31,0.008600000000000003,-0.005747126436781436,0.0006042040580000001,-0.36572477945865034,0.0316,-9.999999999999593e-05,0.0317,-0.0004000000000000002,-3.1326669593102214,-3.113803867861922,0.0072,-2.7669421798515708,0.37468858993522675,0.07647110927202432,0.019295,-0.009682
1928-02-29,0.008899999999999998,0.0,0.0008605259200000002,-0.37757008560240474,0.0321,-0.0010000000000000009,0.0331,0.0063,-3.1188940057555414,-3.124003298732349,-0.0036,-2.7413239201531368,0.37866962082682915,0.06260145432897886,-0.007182,-0.015849
1928-03-31,0.0087,0.0,0.000691123931,-0.38833985858270104,0.0318,-0.0015000000000000013,0.0333,0.0006999999999999992,-3.092631200264226,-3.1104324168079502,0.0061,-2.704291341681525,0.3860765992401684,0.05517263387406506,-0.012549,0.102852
1928-04-30,0.008600000000000003,-0.011560693641618491,0.0013810076760000004,-0.39869116179920955,0.0317,-0.0010000000000000009,0.0327,-0.0003999999999999993,-3.1869801169732312,-3.0841140191763516,0.0045,-2.7882889551740218,0.3632548379575659,0.054363937199364554,0.105752,0.032525
1928-05-31,0.0087,0.0,0.0014879602859999995,-0.40959863938977137,0.0319,-0.004300000000000005,0.0362,0.0018,-3.2104305739429475,-3.178534866047978,-0.0004,-2.8008319345531763,0.3680952605963238,0.04937206380308211,0.034725,0.009125
1928-06-30,0.009299999999999996,0.0,0.0018988587559999998,-0.41951589655177374,0.0327,-0.0063,0.039,-9.99999999999994e-05,-3.214759309356361,-3.2021805271495007,-0.0077,-2.795243412804587,0.3543969792093172,0.04718737582648139,0.012325,-0.03743
1928-07-31,0.009799999999999996,0.005847953216374213,0.003645476632,-0.4298565612323235,0.0326,-0.006600000000000002,0.0392,-0.006500000000000001,-3.1651103413352613,-3.2064533048696435,0.0041,-2.7352537801029375,0.3702999477111756,0.0502987888519648,-0.03433,0.0069169999999999995
1928-08-31,0.0097,-0.005813953488371992,0.0016749798640000003,-0.4399243046329413,0.0344,-0.0068000000000000005,0.0412,0.0207,-3.1693017120072557,-3.156872758637516,-0.0217,-2.7293774073743142,0.36064814814814816,0.05938032978797056,0.010117,0.06703
