date,Index,D12,E12,b/m,tbl,AAA,BAA,lty,ntis,Rfree,infl,ltr,corpr,svar,csp,CRSP_SPvw,CRSP_SPvwx,dfy,dfr,tms,dp,dy,ep,de,tbill_rfree,mr,R
1871-01-31,4.44,0.26,0.4,,,,,,,,,,,,,,,,,,-2.837728024410743,,-2.4069451083182885,-0.4307829160924542,,,
1871-02-28,4.5,0.26,0.4,,,,,,,0.004967421451620109,,,,,,,,,,,-2.8511510447428834,-2.837728024410743,-2.4203681286504293,-0.4307829160924542,,,
1871-03-31,4.61,0.26,0.4,,,,,,,0.004524663161801005,,,,,,,,,,,-2.8753015049751665,-2.8511510447428834,-2.4445185888827123,-0.4307829160924542,,,
1871-04-30,4.74,0.26,0.4,,,,,,,0.004251628883079224,,,,,,,,,,,-2.9031107836735943,-2.8753015049751665,-2.47232786758114,-0.4307829160924542,,,
1871-05-31,4.86,0.26,0.4,,,,,,,0.004642732039086099,,,,,,,,,,,-2.928112085879012,-2.9031107836735943,-2.4973291697865574,-0.4307829160924542,,,
1871-06-30,4.82,0.26,0.4,,,,,,,0.003698181020805343,,,,,,,,,,,-2.9198475760291185,-2.928112085879012,-2.489064659936664,-0.4307829160924542,,,
1871-07-31,4.73,0.26,0.4,,,,,,,0.0033734916082713328,,,,,,,,,,,-2.900998850470451,-2.9198475760291185,-2.470215934377997,-0.4307829160924542,,,
1871-08-31,4.79,0.26,0.4,,,,,,,0.0032554227309862386,,,,,,,,,,,-2.9136040593894332,-2.900998850470451,-2.4828211432969787,-0.4307829160924542,,,
1871-09-30,4.84,0.26,0.4,,,,,,,0.0037129396304659795,,,,,,,,,,,-2.9239883686951496,-2.9136040593894332,-2.4932054526026954,-0.4307829160924542,,,
1871-10-31,4.59,0.26,0.4,,,,,,,0.004554180381122278,,,,,,,,,,,-2.8709536720390627,-2.9239883686951496,-2.4401707559466086,-0.4307829160924542,,,
1871-11-30,4.64,0.26,0.4,,,,,,,0.00704100610893958,,,,,,,,,,,-2.881788014204773,-2.8709536720390627,-2.451005098112319,-0.4307829160924542,,,
1871-12-31,4.74,0.26,0.4,,,,,,,0.006487558246665701,,,,,,,,,,,-2.9031107836735943,-2.881788014204773,-2.47232786758114,-0.4307829160924542,,,
1872-01-31,4.86,0.2633,0.4025,,,,,,,0.006974592365466716,,,,,,,,,,,-2.9154996503922757,-2.8904983481868585,-2.4910986200359213,-0.42440103035635446,,,
1872-02-29,4.88,0.2667,0.405,,,,,,,0.0057643863732944976,,,,,,,,,,,-2.9067760676592242,-2.902669285706571,-2.489013431740654,-0.41776263591857066,,,
